QuarterEnd,News_Based_Policy_Uncert_Index
2025-12-31,282.4214172363281
2025-09-30,354.73972574869794
2025-06-30,554.8351745605469
2025-03-31,337.4603322347005
2024-12-31,184.395144144694
2024-09-30,136.90077463785806
2024-06-30,135.73266092936197
2024-03-31,118.16600799560547
2023-12-31,127.09095001220703
2023-09-30,109.08454132080078
2023-06-30,183.3006846110026
2023-03-31,171.62811279296875
2022-12-31,189.2291259765625
2022-09-30,202.5210723876953
2022-06-30,170.69710795084634
2022-03-31,174.9889678955078
2021-12-31,171.40892537434897
2021-09-30,170.22235616048175
2021-06-30,154.17587280273438
2021-03-31,205.20377095540366
2020-12-31,319.9976298014323
2020-09-30,314.658203125
2020-06-30,401.71607462565106
2020-03-31,268.90857950846356
2019-12-31,173.49888610839844
2019-09-30,225.6363728841146
2019-06-30,159.5119654337565
2019-03-31,196.13563028971353
2018-12-31,175.87791442871094
2018-09-30,137.3838882446289
2018-06-30,145.23827616373697
2018-03-31,154.27288055419922
2017-12-31,125.83290354410808
2017-09-30,131.872683207194
2017-06-30,136.06769053141275
2017-03-31,175.80934143066406
2016-12-31,174.5300725301107
2016-09-30,119.22918192545573
2016-06-30,142.1972885131836
2016-03-31,144.5564168294271
2015-12-31,100.7496846516927
2015-09-30,142.3903605143229
2015-06-30,107.24798075358073
2015-03-31,101.37755330403645
2014-12-31,97.97861735026042
2014-09-30,76.19997660319011
2014-06-30,94.99231465657552
2014-03-31,100.69771830240886
2013-12-31,143.43640645345053
2013-09-30,126.69519297281902
2013-06-30,123.69815826416016
2013-03-31,158.0124308268229
2012-12-31,195.6483408610026
2012-09-30,168.62200927734375
2012-06-30,143.43682607014972
2012-03-31,124.20052337646484
2011-12-31,154.88080851236978
2011-09-30,235.08399963378906
2011-06-30,116.14454905192058
2011-03-31,123.29896545410156
2010-12-31,160.45345560709634
2010-09-30,170.305544535319
2010-06-30,133.732546488444
2010-03-31,126.09097035725911
2009-12-31,98.1390380859375
2009-09-30,104.8463617960612
2009-06-30,115.44817352294922
2009-03-31,185.11900329589844
2008-12-31,187.4381103515625
2008-09-30,144.81256103515625
2008-06-30,92.00267283121745
2008-03-31,133.27717081705728
2007-12-31,104.73237609863281
2007-09-30,81.56090037027995
2007-06-30,66.57931645711263
2007-03-31,65.9666353861491
2006-12-31,52.08922576904297
2006-09-30,72.58030064900716
2006-06-30,77.34926350911458
2006-03-31,66.52635320027669
2005-12-31,69.97486750284831
2005-09-30,79.10887908935547
2005-06-30,78.49740854899089
2005-03-31,55.91288630167643
2004-12-31,93.85669708251953
2004-09-30,93.97198232014973
2004-06-30,87.40314229329427
2004-03-31,87.16999053955078
2003-12-31,82.54189046223958
2003-09-30,101.67212422688802
2003-06-30,136.52840677897134
2003-03-31,190.66619364420572
2002-12-31,150.53545125325522
2002-09-30,141.87612915039062
2002-06-30,105.31820933024089
2002-03-31,116.85738881429036
2001-12-31,189.83068339029947
2001-09-30,162.81968688964844
2001-06-30,119.88516743977864
2001-03-31,136.20464579264322
2000-12-31,135.1820068359375
2000-09-30,73.03860346476237
2000-06-30,99.44239552815755
2000-03-31,78.55083719889323
1999-12-31,73.65889739990234
1999-09-30,80.35120391845703
1999-06-30,69.82999420166016
1999-03-31,95.11556752522786
1998-12-31,123.14098866780598
1998-09-30,133.6409454345703
1998-06-30,78.49072265625
1998-03-31,97.48361460367839
1997-12-31,94.20396169026692
1997-09-30,63.345174153645836
1997-06-30,77.15065511067708
1997-03-31,79.32811228434245
1996-12-31,65.73826217651367
1996-09-30,79.10728708902995
1996-06-30,71.74453481038411
1996-03-31,86.7433598836263
1995-12-31,90.59207916259766
1995-09-30,69.3072878519694
1995-06-30,69.70686848958333
1995-03-31,103.13603210449219
1994-12-31,83.7122294108073
1994-09-30,83.24095153808594
1994-06-30,96.10907491048177
1994-03-31,87.2217788696289
1993-12-31,81.78401184082031
1993-09-30,112.70215352376302
1993-06-30,114.61231231689453
1993-03-31,100.07930501302083
1992-12-31,119.09213002522786
1992-09-30,127.82117970784505
1992-06-30,96.94273630777995
1992-03-31,122.59673309326172
1991-12-31,139.91476694742838
1991-09-30,102.3551737467448
1991-06-30,87.02716827392578
1991-03-31,139.4886957804362
1990-12-31,141.3947957356771
1990-09-30,130.5137710571289
